District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
전주시완산구,85639,73234,61487,84.37,7338,10.06,3389,4.65,561,0.76,100,0.13,0,0,0.0
전주시덕진구,126941,87228,64925,74.91,14340,16.54,6340,7.31,954,1.1,107,0.12,0,0,0.0
군산시,56751,51375,44184,86.49,4672,9.14,1855,3.63,319,0.62,50,0.09,0,0,0.0
익산시,56559,50282,42973,86.04,4730,9.47,1860,3.72,318,0.63,61,0.12,0,0,0.0
정읍시,36291,33492,29763,89.5,2256,6.78,952,2.86,211,0.63,71,0.21,0,0,0.0
남원시,19639,19101,17089,90.32,1161,6.13,465,2.45,155,0.81,50,0.26,0,0,0.0
김제시,25470,23252,20704,89.6,1650,7.14,577,2.49,129,0.55,45,0.19,0,0,0.0
완주군,57399,43113,34793,81.32,5463,12.76,1993,4.65,449,1.04,87,0.2,0,0,0.0
진안군,7876,7250,6224,86.58,717,9.97,174,2.42,51,0.7,22,0.3,0,0,0.0
무주군,20899,17383,13395,77.7,2876,16.68,785,4.55,135,0.78,47,0.27,0,0,0.0
장수군,4461,4434,3956,89.8,315,7.15,88,1.99,36,0.81,10,0.22,0,0,0.0
임실군,11128,10962,9801,90.09,709,6.51,268,2.46,74,0.68,26,0.23,0,0,0.0
순창군,17831,15738,13734,87.99,1308,8.38,415,2.65,121,0.77,29,0.18,0,0,0.0
고창군,29754,24239,20900,86.94,2274,9.46,633,2.63,146,0.6,85,0.35,0,0,0.0
부안군,20838,16647,14398,87.01,1627,9.83,396,2.39,84,0.5,41,0.24,0,0,0.0
