District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
천안시서북구,183198,129758,61605,47.82,54547,42.34,11213,8.7,1311,1.01,128,0.09,0,0,0.0
천안시동남구,117012,90861,44536,49.35,37420,41.46,7303,8.09,876,0.97,99,0.1,0,0,0.0
공주시,54453,43718,20578,47.44,19731,45.48,2710,6.24,306,0.7,50,0.11,0,0,0.0
보령시,58395,46413,20061,43.56,23090,50.14,2523,5.47,324,0.7,52,0.11,0,0,0.0
아산시,174361,130216,65631,50.74,52090,40.27,10246,7.92,1257,0.97,100,0.07,0,0,0.0
서산시,102990,79521,39776,50.37,32618,41.31,5729,7.25,732,0.92,98,0.12,0,0,0.0
태안군,35755,28178,12525,44.79,13812,49.39,1388,4.96,199,0.71,37,0.13,0,0,0.0
금산군,23434,19188,9415,49.41,8549,44.87,929,4.87,131,0.68,27,0.14,0,0,0.0
논산시,58078,39844,17034,43.06,20130,50.89,2014,5.09,327,0.82,46,0.11,0,0,0.0
계룡시,22673,19034,9370,49.6,7832,41.46,1504,7.96,171,0.9,13,0.06,0,0,0.0
당진시,136527,99805,49917,50.33,41887,42.23,6355,6.4,910,0.91,104,0.1,0,0,0.0
부여군,47827,36132,14573,40.64,19349,53.96,1653,4.61,246,0.68,31,0.08,0,0,0.0
서천군,40783,30231,13551,45.19,14849,49.52,1335,4.45,204,0.68,46,0.15,0,0,0.0
홍성군,49591,39395,18635,47.62,17651,45.11,2378,6.07,416,1.06,46,0.11,0,0,0.0
청양군,19694,16296,6937,42.97,8060,49.93,1011,6.26,107,0.66,26,0.16,0,0,0.0
예산군,56516,42022,15076,36.13,24014,57.55,2280,5.46,310,0.74,44,0.1,0,0,0.0
