District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
창원시의창구,65348,53294,21303,40.25,27092,51.19,3872,7.31,596,1.12,57,0.1,0,0,0.0
창원시성산구,50408,44058,20345,46.53,18787,42.97,3876,8.86,671,1.53,42,0.09,0,0,0.0
창원시마산합포구,50934,43701,16557,38.2,23657,54.59,2698,6.22,368,0.84,53,0.12,0,0,0.0
창원시마산회원구,39336,33612,12943,38.82,17865,53.58,2164,6.49,319,0.95,49,0.14,0,0,0.0
창원시진해구,39873,34859,15207,43.99,16420,47.5,2612,7.55,289,0.83,38,0.1,0,0,0.0
진주시,22663,22236,9923,45.05,10264,46.6,1609,7.3,208,0.94,21,0.09,0,0,0.0
통영시,24518,22851,9834,43.42,11299,49.88,1306,5.76,184,0.81,25,0.11,0,0,0.0
고성군,13810,11111,3637,32.99,6847,62.11,455,4.12,74,0.67,10,0.09,0,0,0.0
사천시,40325,35175,14623,41.94,17556,50.36,2307,6.61,328,0.94,45,0.12,0,0,0.0
김해시,86328,70665,35142,50.1,29516,42.08,4732,6.74,651,0.92,89,0.12,0,0,0.0
밀양시,50844,41515,14808,35.96,24072,58.46,1958,4.75,295,0.71,41,0.09,0,0,0.0
거제시,78940,63671,31632,50.04,27079,42.83,3816,6.03,628,0.99,55,0.08,0,0,0.0
의령군,6932,6796,2647,39.5,3653,54.51,320,4.77,62,0.92,19,0.28,0,0,0.0
함안군,26441,22045,8464,38.66,11991,54.77,1198,5.47,210,0.95,28,0.12,0,0,0.0
창녕군,9126,8709,3056,35.4,5111,59.2,388,4.49,68,0.78,9,0.1,0,0,0.0
양산시,148321,118154,54557,46.48,53576,45.65,8018,6.83,1074,0.91,132,0.11,0,0,0.0
하동군,11248,11248,5175,46.62,5232,47.13,575,5.18,104,0.93,14,0.12,0,0,0.0
남해군,12363,12362,5500,45.09,5965,48.9,588,4.82,126,1.03,18,0.14,0,0,0.0
함양군,8213,7672,2897,38.26,4168,55.05,402,5.31,87,1.14,16,0.21,0,0,0.0
산청군,16198,13649,4600,34.08,8183,60.63,565,4.18,127,0.94,21,0.15,0,0,0.0
거창군,21895,20102,7356,36.97,11096,55.76,1247,6.26,167,0.83,31,0.15,0,0,0.0
합천군,10818,10599,3584,34.25,6236,59.6,523,4.99,101,0.96,19,0.18,0,0,0.0
