District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
춘천시,71319,67147,37473,56.19,22369,33.54,6034,9.04,749,1.12,56,0.08,0,0,0.0
원주시,168602,127132,57403,45.47,57823,45.8,9629,7.62,1260,0.99,128,0.1,0,0,0.0
강릉시,172778,129473,52372,40.71,66061,51.36,8943,6.95,1121,0.87,120,0.09,0,0,0.0
동해시,67163,50538,21076,41.96,25425,50.62,3231,6.43,420,0.83,74,0.14,0,0,0.0
삼척시,50630,39160,14766,37.98,21448,55.18,2295,5.9,322,0.82,38,0.09,0,0,0.0
태백시,33422,25989,10894,42.2,13277,51.43,1430,5.53,192,0.74,20,0.07,0,0,0.0
정선군,22191,17620,7899,45.15,8639,49.38,820,4.68,117,0.66,18,0.1,0,0,0.0
속초시,43301,34194,16307,47.98,15244,44.85,2113,6.21,293,0.86,30,0.08,0,0,0.0
고성군,22260,17937,7515,42.25,8946,50.29,1168,6.56,135,0.75,22,0.12,0,0,0.0
양양군,24980,19670,8061,41.26,10304,52.74,1017,5.2,140,0.71,12,0.06,0,0,0.0
인제군,24776,20062,8585,43.27,9207,46.41,1838,9.26,167,0.84,40,0.2,0,0,0.0
홍천군,54607,41327,16680,40.71,21545,52.59,2400,5.85,288,0.7,52,0.12,0,0,0.0
횡성군,41725,32863,13347,40.94,17208,52.79,1769,5.42,237,0.72,36,0.11,0,0,0.0
영월군,30066,23119,9407,40.98,12277,53.48,1075,4.68,161,0.7,32,0.13,0,0,0.0
평창군,28760,22593,9175,40.89,11879,52.95,1196,5.33,163,0.72,21,0.09,0,0,0.0
화천군,20014,15736,6260,40.18,7734,49.64,1401,8.99,157,1.0,27,0.17,0,0,0.0
양구군,15972,12793,5345,42.16,6066,47.85,1135,8.95,108,0.85,21,0.16,0,0,0.0
철원군,20204,17378,7957,46.26,7482,43.5,1586,9.22,142,0.82,31,0.18,0,0,0.0
