District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
포항시북구,69744,58553,16743,28.77,37265,64.05,3617,6.21,497,0.85,57,0.09,0,0,0.0
포항시남구,70409,57211,16463,28.99,35598,62.69,4190,7.37,478,0.84,50,0.08,0,0,0.0
울릉군,8412,6716,1814,27.26,4351,65.38,454,6.82,30,0.45,5,0.07,0,0,0.0
경주시,41444,41157,14965,36.67,22546,55.26,2660,6.51,585,1.43,43,0.1,0,0,0.0
김천시,70190,58520,16586,28.53,37176,63.94,3874,6.66,451,0.77,47,0.08,0,0,0.0
안동시,76055,61605,19699,32.27,37294,61.1,3551,5.81,434,0.71,52,0.08,0,0,0.0
구미시,84367,74343,24955,33.85,41554,56.37,6561,8.9,550,0.74,84,0.11,0,0,0.0
영주시,42689,37231,11713,31.76,22994,62.36,1888,5.12,245,0.66,31,0.08,0,0,0.0
영천시,30974,27838,7132,25.83,18943,68.61,1338,4.84,170,0.61,24,0.08,0,0,0.0
상주시,48883,41435,9622,23.41,29036,70.66,2139,5.2,254,0.61,41,0.09,0,0,0.0
문경시,15827,15640,4107,26.5,10592,68.35,658,4.24,118,0.76,20,0.12,0,0,0.0
예천군,20108,18135,5210,29.09,11527,64.37,1024,5.71,122,0.68,23,0.12,0,0,0.0
경산시,32629,27439,7186,26.41,17898,65.78,1883,6.92,208,0.76,30,0.11,0,0,0.0
청도군,20475,16752,3638,21.89,12207,73.48,670,4.03,81,0.48,16,0.09,0,0,0.0
고령군,15622,12246,2067,17.06,9518,78.58,451,3.72,60,0.49,15,0.12,0,0,0.0
성주군,16114,15051,3382,22.68,10771,72.25,643,4.31,92,0.61,19,0.12,0,0,0.0
칠곡군,54391,41908,10834,26.02,28104,67.5,2356,5.65,287,0.68,49,0.11,0,0,0.0
의성군,34027,27933,4855,17.53,21710,78.4,937,3.38,156,0.56,32,0.11,0,0,0.0
청송군,22070,18250,3789,20.95,13348,73.83,797,4.4,125,0.69,19,0.1,0,0,0.0
영양군,14161,11615,2848,24.72,8104,70.35,484,4.2,72,0.62,10,0.08,0,0,0.0
영덕군,16257,14133,2844,20.3,10522,75.13,533,3.8,91,0.64,14,0.09,0,0,0.0
봉화군,13979,12019,3349,28.1,7998,67.12,474,3.97,81,0.67,13,0.1,0,0,0.0
울진군,20004,17554,4562,26.24,11798,67.86,903,5.19,99,0.56,22,0.12,0,0,0.0
