District,Eligible_Voters,Total_Votes,더불어민주당이재명_Votes,더불어민주당이재명_Percentage,국민의힘김문수_Votes,국민의힘김문수_Percentage,개혁신당이준석_Votes,개혁신당이준석_Percentage,민주노동당권영국_Votes,민주노동당권영국_Percentage,무소속송진호_Votes,무소속송진호_Percentage,Invalid_Votes,Abstentions,Counting_Rate
창원시의창구,40213,34264,14825,43.57,16436,48.31,2331,6.85,390,1.14,38,0.11,0,0,0.0
창원시성산구,25744,21883,9452,43.56,9908,45.66,1973,9.09,336,1.54,27,0.12,0,0,0.0
창원시마산합포구,24236,23234,10043,43.55,11477,49.77,1305,5.65,202,0.87,31,0.13,0,0,0.0
창원시마산회원구,22483,19689,7677,39.31,10410,53.31,1224,6.26,187,0.95,28,0.14,0,0,0.0
창원시진해구,39873,34859,15207,43.99,16420,47.5,2612,7.55,289,0.83,38,0.1,0,0,0.0
진주시,15257,15257,6723,44.47,7223,47.78,1012,6.69,144,0.95,14,0.09,0,0,0.0
통영시,18626,17655,7556,43.15,8858,50.59,943,5.38,133,0.75,18,0.1,0,0,0.0
고성군,13810,11111,3637,32.99,6847,62.11,455,4.12,74,0.67,10,0.09,0,0,0.0
사천시,25993,23027,9150,40.1,12062,52.86,1365,5.98,211,0.92,28,0.12,0,0,0.0
김해시,57143,48888,25026,51.57,19790,40.78,3189,6.57,456,0.93,60,0.12,0,0,0.0
밀양시,37773,32819,12849,39.48,17789,54.66,1628,5.0,240,0.73,36,0.11,0,0,0.0
거제시,73748,60972,30515,50.4,25790,42.6,3580,5.91,597,0.98,54,0.08,0,0,0.0
의령군,6386,6386,2581,40.97,3334,52.92,310,4.92,57,0.9,17,0.26,0,0,0.0
함안군,13240,13027,5836,45.15,6261,48.44,693,5.36,117,0.9,17,0.13,0,0,0.0
창녕군,6264,6264,2260,36.4,3611,58.16,286,4.6,46,0.74,5,0.08,0,0,0.0
양산시,122182,99705,47056,47.51,44369,44.79,6601,6.66,900,0.9,114,0.11,0,0,0.0
하동군,10055,10055,4654,46.91,4638,46.74,520,5.24,98,0.98,11,0.11,0,0,0.0
남해군,7628,7627,3165,42.02,3989,52.96,300,3.98,66,0.87,12,0.15,0,0,0.0
함양군,8213,7672,2897,38.26,4168,55.05,402,5.31,79,1.04,24,0.31,0,0,0.0
산청군,12123,11090,4165,37.97,6189,56.42,488,4.44,113,1.03,13,0.11,0,0,0.0
거창군,8458,8453,2945,35.29,4879,58.48,434,5.2,68,0.81,17,0.2,0,0,0.0
합천군,7669,7450,2325,31.67,4602,62.68,334,4.54,61,0.83,19,0.25,0,0,0.0
